original (cond)	sample (pos)	generated (neg)	BLEU	METEOR
how does a pressure sensor work ?	how do pressure sensor work ?		0	0
are fighter jets air conditioned ?	are fighter plane cockpits air conditioned ?		0	0
should gandhi ji be replaced by some other personality from indian currency ?	should gandhi be replaced from indian currency note ?		0	0
where do i find a simple to understand solution on how to lose weight ?	which are the best ways to lose weight ?		0	0
how do you go about finding a career mentor ?	how would i go about finding a mentor ?		0	0
is there any other website similar to quora ?	are there other websites like quora ?		0	0
what is the worst food you ever cooked or ate ?	what is the grossest food you ever ate ?	what are some ?	3.6987610208233575e-09	0.08311353546250481
how do we know we are not living in a black hole ?	does our universe exist inside a black hole ?		0	0
how do i get call girls in hyderabad ?	where i get call girls in hyderabad ?		0	0
what is the best way to learn networking ?	what is the best way to learn how networks work ?		0	0
how does the embedded ngc technology of the rs . 2000 note works ?	is the new 2000 rupee note really implementing ngc ( nano gps chip ) ?		0	0
an honest question . is quora biased against donald trump and pro clinton ?	why is quora biased agaist donald trump . ?		0	0
what is a pil ?	what is pil ?	what are some examples and	7.071067808860277e-09	0.1398057547382416
why do people use vpn ?	why do i need a vpn ?	why	6.737946988978591e-06	0.097165991902834
is facebook a waste of time and also unproductive ?	is using facebook is waste of time ?	are	2.883623964058067e-14	0.0
have you died and come back to life ? and if so , what did you see/experience while dead ?	who has physically died and been brought back to our physical life ?		0	0
could quora be the tool for modern day illuminati ?	is quora a project of illuminati ?		0	0
which are the great examples of presence of mind ?	what are some great examples of presence of mind ?		0	0
what is the best way to avoid questions needing improvement on quora ?	what should i do to improve my questions on quora ?		0	0
how do accelerators make a profit ?	how do accelleraters make profit ?		0	0
should india take some aggressive step against pakistan now ?	should india declare war against pakistan as they are spreading terrorism in india ?		0	0
what are your life 's worst regrets ?	what is your worst regret in life ?		0	0
what can we do to improve the indian education system ?	how can indian education system be reformed ?	?	9.118819641867017e-07	0.02588996763754045
is trump 's personal notebook apple or windows ?	is trump 's personal laptop apple or windows ?		0	0
what are the best games that can be played on a laptop without a graphics card ?	what are the good games that can play without graphics card ?		0	0
how should i approach a career in animation ?	how do i start my career in animation ?		0	0
what is your score in kvpy sa 2016 ( aptitude test ) ? what is the expected cutoff ?	how was the kvpy sa 2016 ? what is the expected cutoff ?		0	0
what are the best strategies for preparing for the lsat ?	how do i prepare for lsat ?		0	0
what are the best c++ books ?	what are the top c++ books ?		0	0
why has star sports decided not to broadcast epl ( 2016/17 ) on their sd channels ? how can we make it not happen ?	why is star sports not broadcasting premier league in its sd channels ?	why ?	1.2923506005914763e-10	0.06336633663366337
atmospheric science : how is rainfall measured ?	how is rainfall measured ?		0	0
can a person increase his/her height even after 20 ?	is there any way to increase height after age of 20 ?		0	0
what is the best way to start learning c language within a month ?	best way to learn c language ?		0	0
what is the best video game ?	what are the best video games to play ?	how are some some of ?	6.911494339490884e-09	0.08310320052897306
how do i to start a new business ?	how can i start my business ?		0	0
how do i reduce my sexual desire ?	how can i curb my sexual desires ?		0	0
if a mosquito appears to fly at its normal speed inside a moving vehicle with closed windows , is it really flying at its normal speed or is it flying at a speed relative to the speed of the vehicle to appear normal ?	does an insect flying inside a vehicle need to keep with the speed of it , or if in front , fly faster than the vehicle ?		0	0
what do you look at before investing in a startup ?	what are the most important things vcs look for before investing in a startup ?		0	0
what algorithm does quora follow for arranging the answers of a particular question ?	how does quora sort multiple answers for a question ?		0	0
which are the positive benefits of banning existing ₹500 and ₹1000 currency notes in india ?	how will discontinuing ₹500 and ₹1000 notes affect india 's economy ?		0	0
how introducing 2000 rs notes which is of higher denomination than the current highest denomination 1000 rs notes will reduce the black money ?	how would demonetizing 500 and 1000 rupee notes and introducing new 2000 rupee notes help curb black money and corruption ?		0	0
can anime exist in a parallel universe of some kind ?	can anime exist in a parallel universe/multiverse ?		0	0
why ca n't india produce quality fast bowlers ?	why india ca n't produce fast bowler like bret lee ?	what are some examples	8.27068107508754e-17	0.0
can a happily married man fall in love with someone else and if yes what do honest men do then ?	can a happily married man fall in love with someone else and if yes , what do honest men do then ?		0	0
how do you recover your gmail password ?	how do i recover a forgotten gmail password ?	how	9.118819641867017e-07	0.06876790830945559
what is the best video making software ?	what is the best software for video production ?	what are some	2.438373545820434e-09	0.061196113283999
can a president elect ever be forced out ?	has a president elect ever been forced out ?		0	0
what 's your new year resolutions for 2017 and what will you do to accomplish your goal ?	what is your new year resolution ?		0	0
what are the daily routines of barack obama ?	what is the daily routine of us president barack obama ?		0	0
how do i stop getting irritated ?	how can i stop getting irritated so easily ?		0	0
where can i get knowledgeable assistance for transfer of property in sydney ?	where can i get friendly assistance in sydney of any knowledgeable conveyancing solicitor ?		0	0
what were the latest trends in marketing for 2016 ?	what are the latest trends in marketing 2016 ?		0	0
how do i live a simple life ?	how do you learn to live a simple life ?		0	0
how do i make my ass bigger for my boyfriend ?	how do i make my ass bigger ?	what are are of ?	3.8806842931124116e-09	0.022535211267605635
how prevalent is sexual assault ( or rape ) in us prisons ?	how prevalent is sexual abuse in prison ?		0	0
what is your most treasured memory ?	which is your most treasured memory ?	what 's ?	4.8126032843834975e-09	0.05992509363295881
is it ergonomically safe to use a laptop computer on your lap ?	is there any health side effects to keeping your laptop on your lap ?		0	0
whats the point of life ?	what 's the point of life ?		0	0
which is more logical to follow—your heart or your head ?	which is more logical to follow-your heart or your head ?	what	1.4356718344577035e-15	0.0
how can black money brought out by discontinuing 500 and 1000 notes ?	replacing 500 and 1000 notes- how will this move reduce black money ?	curbing of	2.8897837936852207e-18	0.02671614100185529
which is a good laptop under rs . 60,000 ?	which is the best laptop under 60,000 in india ?		0	0
why do n't people learn from their mistakes ?	why do n't some people learn from their mistakes ?		0	0
how do i get a hack done on my wife 's phone ?	how do i find someone to help me hack my cheating wife 's phone ?		0	0
which is the best website for finding jobs ?	which are the top 10 best websites to find jobs ?		0	0
how do i find my first investment property ?	how do i find investment properties ?		0	0
how do fighter pilots go to the bathroom on long flights ?	how do fighter jet pilots pee or poop ?		0	0
how do i know that i am fertile without going to hospital ?	how do i know if i 'm fertile without going to the hospital ( female ) ?		0	0
does it hurt to have a tooth pulled ?	does it hurt to get a tooth pulled ?		0	0
how do you always stay inspired and energized ?	how do i always stay motivated and energized ?		0	0
is it possible that gods were aliens ?	is it possible that gods are aliens ?		0	0
what were the causes of the cold war ? outline the process of cold war divisions .	how and why did the cold war start ?		0	0
can a person increase his/her height even after 20 ?	will swimming increase height after 20 years of age ?		0	0
what should i do to enter hollywood ?	how can i enter into hollywood ?		0	0
is there any way to creep somebody 's pics on instagram that account is private ?	how do i gain access to a person 's instagram photos , if their account is private ?		0	0
why do i hire you ?	what is the best answer when we are asked by interviewers why should we hire you ?	what	6.737946988978591e-06	0.01509433962264151
what are your views about governments decision to stop flow of 1000 and 500 rupee notes . ?	what do you think about ban on rs . 500 and rs . 1000 currency notes ?		0	0
what are some characteristics of a brave person ?	what are the traits of a brave person ?		0	0
how do i prepare for ugc net english literature thoroughly ?	how do i prepare for ugc net english ?		0	0
if clinton loses , what kind of candidate can we expect from the democratic party in 2020 ?	who 's a prospective democratic candidate for 2020 ?		0	0
how do you know if a guy likes you ?	how can you tell if a guy likes you or not ?		0	0
did mukesh ambhani already knew about this notes withdrawal , so he invested a lot in jio and made it free till dec 30th ?	a doubt , did mukesh ambhani already know about this blocking ? so he invested a lot in jio and made it free till dec 30th ?		0	0
what should i do if i have joint pain in my knee ?	what should i do if i have a joint pain in my knee ?		0	0
what is the the importance of history ?	how important is history ?	what	1.8315638861260843e-05	0.03864734299516908
how do i last longer with sex ?	is there anything i could do to last longer in bed ? ( more than 3-5 minutes ) ?		0	0
can i ask math questions on quora ?	is asking math questions on quora bad ?		0	0
why should we study history ?	why should we learn history ?		0	0
did raghuram rajan know about the demonetization scheme of narendra modi ?	was raghuram rajan aware of demonetization ?	that was is	3.403024417548223e-09	0.030303030303030304
what would happen if all the people in the world did n't need to sleep ?	where would humans be if we did n't need sleep ?		0	0
why were the predictions and polls so wrong about the results of the 2016 presidential election ?	how did fivethirtyeight.com get its predictions about the 2016 race so wrong ?	why so	1.2923506005914763e-10	0.055846422338568937
which phone should i buy under inr 15k ?	which phone should i buy under 15k ?		0	0
does uniform civil code work for india ?	should india have a uniform civil code ( personal laws ) ?		0	0
since carrie fisher has passed away , what will they do about star wars episode ix ?	how will the new star wars movies be handled now that carrie fisher has died ? have they finished filming episodes 8 and 9 ?		0	0
what are biodegradable compounds ? how are they disposed off ?	what are biodegradable compounds ?		0	0
how do i speak loud and clear ?	how should i speak loud and clear ?		0	0
how do we make money online ?	how can i make money online easily ?		0	0
why are metals good conductors ?	why are metals good conductor of heat and electricity ?		0	0
what importance does poetry have in education ?	why is poetry important in education ?		0	0
who will you choose the person who loves you or the person you love ?	will you choose a person you love or a person who loves you as your life partner ?		0	0
was there any greek byzantine emperor ?	was there any ethnic greek byzantine emperor ?		0	0
how do i increase amount of sperm ?	how can you increase your sperm amount ?		0	0
why am i bad at math ?	why am i so bad at math ?		0	0
what is the height of mount everest ?	what is the height of everest ?	what are the ?	7.468770981672717e-09	0.15362240386647658
how many days before my period can i get pregnant ?	can you get pregnant 2 days before your period has ended ?		0	0
how can i ignore someone ?	what should i do to ignore someone ?		0	0
what is the weirdest date you 've ever been on ?	what was the weirdest first date you have ever had ?		0	0
how do gps systems work ?	how does gps works ?		0	0
how do you upgrade from windows 7 to windows 10 ?	how do you install windows 10 onto a windows 7 pc ?		0	0
why is quora biased against donald trump ?	why is quora biased towards trump ?		0	0
what is the secret behind the immense success of quora ?	what is the psychological secret behind quora 's immense success ?		0	0
how can i soften hard stool ?	how can hard stool be softened ?	real ?	1.8354763662658024e-09	0.029962546816479405
what are the free seo tools available for analyzing websites ?	what are the free seo tools for website analyzing ?		0	0
are you proud of your country ? why is it so ?	are you proud of your country ?		0	0
what have been president obama 's biggest foreign policy mistakes ?	what are president obama ’ s biggest foreign policy mistakes ?	what	4.539992969438554e-08	0.020304568527918784
what is life after death and how is it ?	how 's life after death ?	are are ?	4.749303160001652e-09	0.07743506048207668
how do i start learning machine learning ?	what is the best way to get started with machine learning ?		0	0
what was the rudest thing you 've ever seen ?	what is the rudest thing you have ever seen someone do ?	what are some the	2.88059797941122e-09	0.06779721998431965
what would life be like on earth if we had two moons ?	what would have happened if earth had ended up with two moons ? would it have had any impact on the formation of life on earth as we know it ?	ghosts ?	9.138298733487406e-11	0.021680216802168018
how do i get quality backlinks for my website ?	how do i get quality backlinks ?		0	0
what if i write incorrect roll no . in every answer sheet of a ug exam ? will my result be announced ?	what if i write incorrect roll no . in every exam answer sheet of a ug exam ? will my result be announced ?		0	0
how did you lighten your dark underarm ?	how do i lighten dark underarms ?		0	0
why is there a minimum wage ?	should there be a minimum wage ?	why ?	2.5957555705883836e-09	0.13733905579399144
what are some great side dishes for a pasta salad ?	what side dish should i serve with a pasta salad ?		0	0
how do vc firms raise their funds ?	how are ( private/non-private ) vc funds and firms funded ?		0	0
why has n't he contacted me at all for two days after our date where he tried to kiss me and texted that nite that he had a lot of fun ?	if he had such a good time on our date that he had to kiss and text the second it ended , why would he radio silence me for 3 days now ?	what are	2.1630560493716156e-22	0.009899950207445173
what are the best ways to improve english ?	how can i understand english ?		0	0
what is the balochistan crisis ?	what are conflicts between balochistan and punjab ?		0	0
how effective is scrapping 500 and 1000 rupee notes ? will it reduce black money ?	will the decision to demonetize 500 and 1000 rupee notes help to curb black money ?		0	0
what is the turing award ?	what is the turing award and how can i earn one ?	?	6.737946988978591e-06	0.04624277456647399
how does one cope with existential depression ?	how does one avoid existential depression ?	why so	5.804285908809378e-17	0.0
can i be arrested for downloading tv series from torrent in india ?	has anyone been arrested for downloading from torrent recently ?	what	3.9025606592368385e-15	0.0
how do i recover a gmail account when i have the username and password , but do n't have the recovery phone number or email or any other information ?	how can i recover my email address if i forgot my recovery phone number and email address ?		0	0
how can we achieve our dream ?	how do i achieve my dreams ?		0	0
what should be the first question one should ask on quora ?	what can be my first question for quora ?		0	0
what is it really like to work for amazon ?	what is it like to work for amazon ?		0	0
what is the process to study nursing in new zealand for an international student ?	how is new zealand for indian students wants to study in new zealand ?		0	0
where do i buy online ?	where do i buy online products ?		0	0
in the 2016 presidential election , who won the first debate between hillary clinton and donald trump and why ?	who won the first presidential debate september 2016 ?		0	0
can i earn money online ?	how do we make money online ?		0	0
how i can speak english with fluency ?	how can improve my english speaking ?	what are english	3.403024417548223e-09	0.08362369337979095
what is the difference between the cable-stayed bridge and a suspension bridge ?	which bridge is better a suspension bridge or the cable stayed bridge ?		0	0
is dark/vacuum energy infinite because the expansion of the universe is infinite and more and more of it is created as the universe expands ?	if vacuum gravitational and dark energy is created without limit as universe expands ?		0	0
what will be the force on a current carrying conductor if all the parameters are doubled ?	what will be the force on current carrying conductor if all the parameters are doubled ?	what	3.0590232004297787e-10	0.016701461377870565
how can i stop being a possessive girlfriend ?	how can i stop being so possessive on some one ?		0	0
is there any legit online job i could do at home ?	what legit online jobs can i work from home ?		0	0
how many mg in a bar of xanax ?	how many mg are in xanax bars ?		0	0
do you love quora ? why ?	who loves quora ?		0	0
how can i see who viewed my instagram videos ?	on instagram can you now see how many times someone has watched your video ?		0	0
what 's the most embarrassing thing that 's happened to you in front of your crush ?	what is the most embarrassing moment in front of your crush ?		0	0
should reservations be abolished ?	should caste-based reservations in india be abolished ?	why ?	4.9893420529863676e-09	0.040201005025125636
what were the best movies of 2016 ? why ?	which is the best movie of year 2016 ?		0	0
has the 50ae desert eagle a almost 99 % kill chance with a headshot at close range ?	if this guy shoots me in the forehead at close range with a 50ae desert eagle what would happen with me ?		0	0
why is saltwater taffy candy imported in germany ?	why is salt water taffy candy unknown in japan ?	why ?	9.54925108725713e-10	0.08672086720867207
can india ban chinese manufactured goods ?	what if india bans import of all chinese products ?		0	0
what are the easiest ways to test the milk purity at home without a lactometer ?	what are the ways to test at home if the milk is pure or not ?		0	0
what is the quickbooks technical support phone number in new york ?	what is the quickbooks support phone number in los angeles ?		0	0
what is the healthiest food ?	what are some of the healthiest foods to eat ?		0	0
what is it like to be abducted by aliens ?	have any of your friends and family been abducted by aliens ?		0	0
where can i get best furniture removal or storage services in central coast ?	where can i get moving services in central coast ?		0	0
why ca n't india get more medals in every olympics ?	why ca n't india won olympic gold medals despite the fact that african countries are winning more medal than we are ?	why are some so	2.243411962079365e-09	0.048582995951417
is india ready to host the 2024 olympics ?	is india capable of hosting the 2024 olympics ?		0	0
why ca n't india get more medals in olympics ?	what is the reason of the poor performance of india in the olympics ?	why so	4.0955013555354697e-10	0.054919908466819226
what are some books you like to read over and over ?	what are the top three books that you can read over and over again ?		0	0
how can you get water on mars ?	how much chances are there that nasa already knew that there is water on mars ?		0	0
does green tea really reduces weight ?	how is lipton green tea related to weight loss ?	why	7.838502621608071e-14	0.0
is there life outside the earth ?	is there life beyond earth ?		0	0
if you refuse to pay a rental car company for damages that you do n't believe were your fault what happens ?	if you refuse to pay a rental car company for damages that was n't your fault what happens ?		0	0
what is best way to remember indian history ?	what is the best way to start learning indian history ?	what are and	1.7471709924551733e-09	0.05179550552049314
could donald trump be president ?	is donald trump going to be the next us president ?	are donald	3.026188926929806e-09	0.130433650543347
should people over 95 not be allowed to vote ?	should people over 100 not be allowed to vote ?	how are some examples	6.441212897812026e-17	0.0
why does a bad person become good ?	what causes a bad person to become a good one ?		0	0
who will be the next pm of india after modi ?	who will become the next pm of india ?		0	0
which party has chances of victory in upcoming punjab election ?	which party has the best chance of victory in punjab assembly election 2017 ?		0	0
which was the best film of 2016 ?	what are the best movies of 2016 ?	why ?	1.1132726913181444e-09	0.032
what is the sahara , and how do the average temperatures there compare to the ones in the taklamakan desert ?	what is the sahara , and how do the average temperatures there compare to the ones in the simpson desert ?		0	0
is there anything wrong with promiscuity ?	what 's wrong with promiscuity ?		0	0
what is the most appropriate clock synchronization solution in distributed systems ?	what is the most optimal solution for distributed systems clock synchronization ?	what	1.6701700765193322e-08	0.017977528089887642
how do i write an android application ?	how do i create an android application ?		0	0
why does the touch screen on an iphone not working ?	what are common reasons an iphone touch screen wont work ?		0	0
can you text with an ipod ?	is there any way to text on an ipod ?		0	0
what would be the first thing you would do if you were made the president of usa ?	if you were president , what would be the first thing you 'd do ?		0	0
what are some weird questions you have come across in quora ?	what is the weirdest question you have come across on quora ?		0	0
what is your favorite cereal ?	what is your favorite breakfast cereal ?	what 's ?	6.7165289406957304e-09	0.07407407407407407
how should i increase my height ?	how do i increase the height ?		0	0
how can i increase the traffic to a website ?	how do i build traffic to my website ?		0	0
where can i get best quality wall and floor tiles at very affordable rates in sydney area ?	where can i get huge selection of floor tiles in sydney ?		0	0
is federer unlucky that nadal , the son of the gun was born in the same era ?	is nadal unlucky to be born in the same era as federer ?		0	0
why did the roman empire last so long ?	how long did the roman empire last ? why did it last so long ?	why	3.35462627399321e-07	0.07228915662650602
what can be the most insane ways to commit suicide ?	what 's the absolute easiest way to commit suicide ?		0	0
what are some good things about rahul gandhi ?	what are some good things done by rahul gandhi ?	rahul are	9.54925108725713e-10	0.106312292358804
why doesn ’ t honey spoil ?	why does honey never rot ?		0	0
why do people use quora to ask questions when google or wikipedia would be sufficient ?	why do people ask questions on quora when they can easily find the answer for it on google ?	why answered	2.0390300598872403e-11	0.08655758976243483
what are payday loans ?	what is a good payday loan ?		0	0
how do i stop being insecure about myself ?	how should i stop being insecure ?		0	0
what programming languages are used at quora ?	what are the programming languages ​​used in quora ?	what are some	0.10904738005983379	0.05693950177935944
can you get a virus on a iphone ?	how can iphones get viruses ?	are	2.1307259238645787e-13	0.0
how do i get rid of acne on my face ? i workout daily and wash my face twice a day .	how do i to get rid of acne scars ?		0	0
how do i grow my influence on quora ?	how can i grow famous on quora ?		0	0
how can i write a program that input five words then display it on the screen ?	a program that stored five words in the memory then display it on the screen ?		0	0
how can i get job at fox traveller as a camera operator ?	how can i get a job in the fox life company as a travel show cameraman ?		0	0
who should win future nobel prizes for chemistry and why ?	what will the next nobel prize in chemistry be for ?		0	0
do you think united states would ever elect an atheist president ?	what are the chances of an atheist ever been elected as president of the united states ?		0	0
which book shall i prefer for the cat ?	which book should i prefer for the cat ?	cat	3.35462627399321e-07	0.08053691275167785
what is the meaning or purpose of life ?	what 's the meaning of life ? ( mathematically and logically )	what	3.35462627399321e-07	0.031007751937984496
which is the best gaming laptop in 60000 rs ?	what is the best gaming laptop i can buy under 60000 in india ?		0	0
is it necessary to have sex in relationship ?	how important is sex in a relationship ?		0	0
how close are we to world war ?	will there be a third world war ?	how	9.118819641867017e-07	0.08540925266903915
what is the key of success ?	what would be a key to success ?	what are	1.8354763662658024e-09	0.10374838786615102
what is the best way to get a tan ?	what is the best way to tan faster outside ?	are	3.9025606592368385e-15	0.0
is smoking hookah worse for your health than smoking cigarettes ?	is smoking hookah more hazardous than smoking cigarettes ?		0	0
is it possible to ask a question and also answer to the same in quora ?	is it compatible with quora policies to ask a question whose answer i know and then answer it for the sake of disseminating its content ?		0	0
is pope francis taking another swipe at donald trump on his statement about fake news ?	is pope francis taking a swipe at trump with his remark on fake news ?		0	0
how do i quit my job ?	what is the best way to quit a job ?		0	0
what is the meaning of life to you ?	what is the meaning of `` life '' ?		0	0
how do i ask a really great question on quora ?	what are the better ways to ask questions on quora ?	quora	4.539992969438554e-08	0.06557377049180328
what is the best place to learn spanish or meet people who speak spanish ?	which are the best places to learn spanish abroad ?		0	0
do sociopaths or psychopaths ever feel self-conscious ?	do sociopaths feel self conscious ?	pessimistic	2.1307259238645787e-13	0.0
is this music is allowed in islam ?	is music prohibited in islam ? why ?		0	0
how do you see the pm modi ’ s move of banning old 500 and 1000 rupee currency notes ?	what are your views on pm modi 's decision on discontinuing 500 & 1000 rs notes ?		0	0
how can i earn money through youtube ?	what are some ways to make money from youtube ?		0	0
who/what are some people/things that you want to be banned in india ?	what should be banned in india ?		0	0
what is law of attraction ? is it true ?	what is the law of attraction ?		0	0
how can i hack someone 's whatsapp account and change their wallpaper on my phone ?	where do i start if i want to hack someone 's whatsapp conversations ?		0	0
what does surgical strike mean ?	what is the meaning of surgical strike ?		0	0
what is the best studying method ? reading or writing things down ?	what are some of the best studying strategies that are really helpful ?		0	0
what is it like to fall in love ?	what is its like to fall in love ?		0	0
how do i convince my parents to buy a dog for us ?	how can i convince my parents to buy me a dog ?		0	0
why does ernest w. adams always disable comments ?	why does ernest adams disable comments on his answers ?		0	0
can gary johnson win ?	how could gary johnson end up winning the 2016 presidential election ?	what 's	1.577768491309742e-16	0.0
what is true beauty ?	what is beauty ?		0	0
how can you delete your yahoo mail id ?	how do you delete your yahoo email account ?		0	0
how do cats get pregnant ?	when and how do cats get pregnant ?		0	0
what would be the best resources and ways for a 15 year old to learn programming ?	how can i learn more programming ?		0	0
has anyone ever seen a ghost in real life ?	have you ever seen or experienced a ghost in `` india '' ?		0	0
how can i have sex with my mom ?	how can i get my mom to have sex with me ?		0	0
how do you have american accent ?	how can i get an american accent ?		0	0
what is definition of matter ?	what is the definition of matter ?	how some	9.569649639079042e-17	0.08641260217489305
