original (cond)	sample (pos)	generated (neg)	BLEU	METEOR
what 's the best way to become a supreme court justice ?	what does it take to become a supreme court justice ?	how did trump is india	6.734907319789274e-17	0.09706047525990324
what are the elements of life that make it complicated ?	what are the elements in your life that make it “ complicated ” ?	is	1.4356718344577035e-15	0.0
which are the top ten best hollywood romantic movies ?	what are some of the best hollywood romantic movies apart from titanic ?	what you is best hollywood	0.14247909484635526	0.1429435397573044
what can be done to stop hair loss . ?	how can i stop my hair fall ?	what do the of it ?	5.85045365006396e-09	0.11025810234199228
why are women 's olympic beach volleyball uniforms bikinis , while men play in long shorts and shirts ?	why do men in olympic beach volleyball get to wear comfortable shirts but women have to wear bikinis ?	why did is n't will	4.299920762839564e-10	0.06440489825020121
what has bible predicted ?	what predictions has the bible made ?	how is a	2.0960166098273626e-16	0.042715721413000486
how can we write a essay ?	how do i write an essay ?	how do i a	0.38568567504874207	0.26010648319763663
what 's the point in being alive ?	what 's the point in me being alive ?	how who is	7.710814191093513e-17	0.048
what are some of the longest words and their meanings in the english language ?	what 's the longest word in the english language and what does it mean ?	is my english novels with	9.569649646974e-10	0.08758964417432086
my gmail is hacked . how do i recover the password ?	how do i recover my gmail account when the recovery phone is no longer in service and forget my old password ?	how i my gmail of my account	0.18502935531543818	0.17588133599312736
how do i conquer the world ?	what would it take to conquer the world ?	i 's a country my	4.7398784991563485e-09	0.028070175438596492
how can i increase my typing speed fast ?	how can i increase typing speed ?	how do i for	6.09822597026799e-09	0.12923757666893027
what are the best phones under 15000 in india ?	which is the best mobile under 15000	rs.15000 is my below phones	6.703200457507537e-09	0.16319848604214005
how did donald trump manage to win the 2016 us election ?	why did trump win the election ?	is has trump the us presidential	8.464817245943457e-09	0.13875958913015216
what 's new about the new 2000 rupee note that will help curb black money ?	how will the introduction of new 2000 rupee notes help in curbing the black money ?	is is the 1000 notes of banning 500 and	2.9655809415016613e-09	0.06359300476947537
is there any factual basis in evidence of psychic abilities ?	is there any scientfic evidence for psychic ability ?	why is n't	1.7471709924551733e-09	0.023054755043227668
how does the government print money ?	how does a government decide on printing money ?	is some is	1.0761308092620251e-16	0.0
how much does a full-arm tattoo cost ?	in the world of tattoos , how much does a full sleeve cost ?	why is there allowed for for ?	4.229931026759462e-09	0.05511906699088858
when will the united states finally transition to universal health care ?	when do you think free universal health care is going to happen in the united states ?	why is okay	6.427482883353635e-10	0.012307692307692311
what is it like to live in an israeli settlement on the west bank ?	what is it like to live in the west bank ?	how did the of the	2.1297646960674127e-09	0.07031264098402196
what can i do to increase my iq ?	how to increase iq level ?	how do i my iq iq average is	0.26369638633624565	0.2829697206920007
what is the differences between exceptions , and software interrupts ?	what is the difference between exception and software interrupt ?	how it with india	6.441212897812026e-17	0.04724205448572451
newtons third law ?	what 's newton 's third law ?	why is	2.6013004718628214e-16	0.0
can electors of the electoral college vote their conscience ?	can the electoral college vote for anyone they want ?	is there i better ?	2.6013004740088944e-09	0.03545706371191136
why do girls wear bra ?	when do girls wear bras ?	why would n't	4.749303160001652e-09	0.08108108108108109
how cold can the gobi desert get , and how do its average temperatures compare to the ones in the kalahari desert ?	how cold can the gobi desert get , and how do its average temperatures compare to the ones in the great basin desert ?	how are	6.157337252804805e-13	0.05401211726047497
how does one make reading interesting ?	how do i make reading interesting ?	how	2.4787521729482488e-06	0.08053691275167785
how can i get a job in tesla as a mechanical engineer ?	how do i get a job as a mechanical engineer in tesla ?	how will is how a	2.018965179088495e-09	0.10780382050335076
what is the best book for core java for beginners ?	which is the best book for java ?	is did a my for new best	7.326455450859374e-09	0.14440433212996392
how can you kill wolverine ?	how could you kill wolverine ?	how do it i my .	5.773502689875535e-09	0.10056203410996327
how do i start learning c language ?	how should i start to learn c language ?	how did a my future learn	5.85045365006396e-09	0.1329595966453896
what are coplanar forces ?	what is coplanar force ?	how did a night with for ?	4.879500363987508e-09	0.0730236348818256
how do you solve the following recurrence using substitution method ? [ math ] t ( n ) =t\left ( \left\lfloor\frac { n } { 4 } \right\rfloor\right ) +n [ /math ]	how do you solve the following recurrence using the substitution method ?	how did n't it	1.235436456914866e-09	0.10135230549786083
as a fresher how can i be the penetration tester ?	is there a way to `` safely '' and legally `` train '' into becoming a penetration tester ?	how did usa for it a	3.548479511991478e-09	0.08913649025069637
what are some conspiracies that turned out to be true ?	which is the most unlikely conspiracy theory which turned out to be true ?	n't are for	8.970274974036499e-10	0.03466957224355588
what are the bitter truths about doing mba in the us for an indian ?	what are the sweet and bitter truths about ms in usa ?	how did n't did for india for	2.388718705653956e-09	0.04740407198503691
what are some of the best technology inventions of 2016 ?	what are the best technology things in 2016 ?	what ? the 's	4.530038590756525e-09	0.07894736842105264
why do all celebrities use iphones ?	why do so many celebrities use iphones ?	why is n't n't	4.31209693678441e-09	0.07384615384615385
why is the sun so big ?	why is the sun big ?	why is is	0.2123952942303651	0.17449120073874905
why modi banned rs 500 & rs 1000 notes ?	why modi is putting a ban on 500 and 1000 notes ?	why did some new old 500 500 notes new notes ?	0.19069251783091612	0.17737882273236383
what is the fibonacci sequence ? why was it created ?	what is the fibonacci sequence ?	did zombies did it is the way	0.2672612418710627	0.08886877432973499
how can i find my lost phone by tracking ?	can i track a lost phone ?	how does a new or ?	8.464817245943457e-09	0.07920792079207922
how do l calculate cgpa by marks ?	how do i calculate cgpa ?	how do be for for way for	0.21821789020222074	0.20693270556923846
how can i make my app go viral ?	how do i make my app go viral ?	is a way that ?	3.1772355737578207e-09	0.0665269853855185
what are some good post-apocalyptic movies ?	what are the best post-apocalyptic movies ?	what are	0.08208499852129275	0.06872944777299647
if universe is expanding without a limit and dark and vacuum energy are created as it expands ?	if dark and vacuum energy are created with expansion is there potential energy that transforms into these types of energy with expansion ?	why energy is infinite	3.898465434344319e-10	0.049844236760124616
what is means love ?	what 's true love ?	what is it ?	0.38940039132477755	0.16244918294944122
can i make money online ?	how do you make easy money online ?	is there money way on india	5.773502689875535e-09	0.12
how do you discipline and motivate yourself into studying ?	what are the best ways to discipline yourself in school ?	is is stress good	6.441212897812026e-17	0.045624025849630295
how do i stop my miniature pinscher/chihuahua mix to stop humping my furniture ?	how do you stop your boxer/pitbull mix from humping your furniture ?	how should the solve humping of humping	3.378158390230129e-09	0.07239819004524888
what are some tv shows similar to black mirror ?	could you reccomend a tv series that 's similar to `` black mirror '' ?		0	0
how can i improve my english in all aspects ?	what can i do to improve my english speaking ?	how it the do ?	4.505584586736407e-09	0.11942236077195988
how does a pressure sensor work ?	how do pressure sensor work ?	for how want new	5.536842066052537e-09	0.08108108108108109
are fighter jets air conditioned ?	are fighter plane cockpits air conditioned ?	how weight jet for for ?	5.773502689875535e-09	0.029197080291970802
should gandhi ji be replaced by some other personality from indian currency ?	should gandhi be replaced from indian currency note ?	if will new a did trump india next than	1.178511301707504e-16	0.0
where do i find a simple to understand solution on how to lose weight ?	which are the best ways to lose weight ?	how i want my weight for for how how	6.454972242199766e-09	0.1677441367613526
how do you go about finding a career mentor ?	how would i go about finding a mentor ?	how you move my that ? my	6.3511423138542446e-09	0.15313849402628335
is there any other website similar to quora ?	are there other websites like quora ?	why is my	3.403024417548223e-09	0.025806451612903226
what is the worst food you ever cooked or ate ?	what is the grossest food you ever ate ?	did you hong grossest a ?	6.0653065950034785e-09	0.12307692307692308
how do we know we are not living in a black hole ?	does our universe exist inside a black hole ?	how my ( my a know with	6.3511423138542446e-09	0.11914893617021279
how do i get call girls in hyderabad ?	where i get call girls in hyderabad ?	how do you	0.10904738005983379	0.15164116254677
what is the best way to learn networking ?	what is the best way to learn how networks work ?	how is my ?	4.530038590756525e-09	0.10983907258269945
how does the embedded ngc technology of the rs . 2000 note works ?	is the new 2000 rupee note really implementing ngc ( nano gps chip ) ?	how did india is n't is	2.1522616193849544e-09	0.05839085851546253
an honest question . is quora biased against donald trump and pro clinton ?	why is quora biased agaist donald trump . ?	why is the	0.07813586214891081	0.10272465849942483
what is a pil ?	what is pil ?	if my the fact that with	1.8257418580158344e-16	0.04285714285714286
why do people use vpn ?	why do i need a vpn ?	why is it did	5.536842066052537e-09	0.1958402936459567
is facebook a waste of time and also unproductive ?	is using facebook is waste of time ?	is there a a	4.749303160991089e-09	0.05633802816901409
have you died and come back to life ? and if so , what did you see/experience while dead ?	who has physically died and been brought back to our physical life ?	which has would it that how	1.7978873509068435e-09	0.04288658429865248
could quora be the tool for modern day illuminati ?	is quora a project of illuminati ?	did did the illuminati ?	0.25961383738216637	0.15044713764482692
which are the great examples of presence of mind ?	what are some great examples of presence of mind ?	how do some that	2.036890365113941e-09	0.0478096533927618
what is the best way to avoid questions needing improvement on quora ?	what should i do to improve my questions on quora ?	how my best for ways for my for the ?	6.032249452333103e-09	0.07707129094412332
how do accelerators make a profit ?	how do accelleraters make profit ?	how does dji hate dji drone ?	6.900655591369778e-09	0.12492292792160678
should india take some aggressive step against pakistan now ?	should india declare war against pakistan as they are spreading terrorism in india ?	is my bad india unite india unite unite unite unite about from india	3.3154725054661e-09	0.09236668866463493
what are your life 's worst regrets ?	what is your worst regret in life ?	is did some some new romans best ? this	5.270462766325093e-09	0.050473186119873815
what can we do to improve the indian education system ?	how can indian education system be reformed ?	how is out my year us	4.136895448977816e-09	0.10056203410996327
is trump 's personal notebook apple or windows ?	is trump 's personal laptop apple or windows ?	why did the new us currently	1.107368413422752e-16	0.015449057744471358
what are the best games that can be played on a laptop without a graphics card ?	what are the good games that can play without graphics card ?	which is some new buy for	6.716528943382339e-17	0.04737978435487679
how should i approach a career in animation ?	how do i start my career in animation ?	how do india career is	0.17402435942550276	0.20306147868680155
what is your score in kvpy sa 2016 ( aptitude test ) ? what is the expected cutoff ?	how was the kvpy sa 2016 ? what is the expected cutoff ?	why did the how	1.360698137367211e-09	0.0915781525393815
what are the best strategies for preparing for the lsat ?	how do i prepare for lsat ?	how is less	3.403024417548223e-09	0.18865812272376484
what are the best c++ books ?	what are the top c++ books ?	which is	5.804285908809378e-17	0.050428468717899466
why has star sports decided not to broadcast epl ( 2016/17 ) on their sd channels ? how can we make it not happen ?	why is star sports not broadcasting premier league in its sd channels ?	why did did it is of	3.1140322380560667e-09	0.06774726796900069
atmospheric science : how is rainfall measured ?	how is rainfall measured ?	why is a	6.628186500598934e-09	0.1135056622627308
can a person increase his/her height even after 20 ?	is there any way to increase height after age of 20 ?	how does	1.2951112443799125e-17	0.025527728749197908
what is the best way to start learning c language within a month ?	best way to learn c language ?	how my laptop ?	4.31209693678441e-09	0.04632810032261842
what is the best video game ?	what are the best video games to play ?	is can there is a good game game ?	0.20412414518515326	0.285981757462215
how do i to start a new business ?	how can i start my business ?	how did n't a ?	8.209710382242107e-09	0.1974308584523468
how do i reduce my sexual desire ?	how can i curb my sexual desires ?	how good is my	4.749303160991089e-09	0.18578434445990913
if a mosquito appears to fly at its normal speed inside a moving vehicle with closed windows , is it really flying at its normal speed or is it flying at a speed relative to the speed of the vehicle to appear normal ?	does an insect flying inside a vehicle need to keep with the speed of it , or if in front , fly faster than the vehicle ?	why is n't	4.330803900556587e-12	0.023885024034956993
what do you look at before investing in a startup ?	what are the most important things vcs look for before investing in a startup ?	how is my better the with	2.5091539258307054e-09	0.05294640036870678
what algorithm does quora follow for arranging the answers of a particular question ?	how does quora sort multiple answers for a question ?	how do a i of the a with is	6.6697384695928586e-09	0.09194551070740187
which are the positive benefits of banning existing ₹500 and ₹1000 currency notes in india ?	how will discontinuing ₹500 and ₹1000 notes affect india 's economy ?	what will 1000 notes why 1000 notes ?	4.439349861793635e-09	0.10688381959274178
how introducing 2000 rs notes which is of higher denomination than the current highest denomination 1000 rs notes will reduce the black money ?	how would demonetizing 500 and 1000 rupee notes and introducing new 2000 rupee notes help curb black money and corruption ?	how did notes with	1.8415046782012282e-10	0.0540217220210924
can anime exist in a parallel universe of some kind ?	can anime exist in a parallel universe/multiverse ?	is is as n't	1.0619764713730698e-16	0.04862424523656744
why ca n't india produce quality fast bowlers ?	why india ca n't produce fast bowler like bret lee ?	why is does india india	4.493289639262571e-09	0.09979209979209981
can a happily married man fall in love with someone else and if yes what do honest men do then ?	can a happily married man fall in love with someone else and if yes , what do honest men do then ?	is it of masturbation while	9.114705896960178e-18	0.0
how do you recover your gmail password ?	how do i recover a forgotten gmail password ?	how are	1.1132726913181444e-09	0.1509791959786554
what is the best video making software ?	what is the best software for video production ?	how are	3.520477361430895e-17	0.04123766866379788
can a president elect ever be forced out ?	has a president elect ever been forced out ?	why did you the us	1.0047301075986612e-16	0.018034728468735276
what 's your new year resolutions for 2017 and what will you do to accomplish your goal ?	what is your new year resolution ?	is a new for new new new ? after new 1000	6.03022689097966e-09	0.10619469026548674
what are the daily routines of barack obama ?	what is the daily routine of us president barack obama ?	how did some of for president for	5.1856859842473975e-09	0.11695699817180194
how do i stop getting irritated ?	how can i stop getting irritated so easily ?	is n't	5.804285908809378e-17	0.061442097849072334
where can i get knowledgeable assistance for transfer of property in sydney ?	where can i get friendly assistance in sydney of any knowledgeable conveyancing solicitor ?	where are how	4.6054927340999793e-10	0.05
what were the latest trends in marketing for 2016 ?	what are the latest trends in marketing 2016 ?	how did is	5.525039797935208e-17	0.0
how do i live a simple life ?	how do you learn to live a simple life ?	how it that during the	3.8806842931124116e-09	0.07207207207207206
how do i make my ass bigger for my boyfriend ?	how do i make my ass bigger ?	how there with how	3.3582644710475053e-09	0.06593406593406592
how prevalent is sexual assault ( or rape ) in us prisons ?	how prevalent is sexual abuse in prison ?	how can us military a s	5.85045365006396e-09	0.09696969696969698
what is your most treasured memory ?	which is your most treasured memory ?	how	7.838502621608071e-14	0.0
is it ergonomically safe to use a laptop computer on your lap ?	is there any health side effects to keeping your laptop on your lap ?	is is a	6.513150285974934e-10	0.03418803418803419
whats the point of life ?	what 's the point of life ?	what is it	4.749303160001652e-09	0.06233766233766234
which is more logical to follow—your heart or your head ?	which is more logical to follow-your heart or your head ?	what are	7.855246774549972e-18	0.013043365054334698
how can black money brought out by discontinuing 500 and 1000 notes ?	replacing 500 and 1000 notes- how will this move reduce black money ?	how discontinuing a new new effective with new notes	4.138801609558221e-09	0.1323529411764706
which is a good laptop under rs . 60,000 ?	which is the best laptop under 60,000 in india ?	how is n't of	2.036890365113941e-09	0.021798365122615803
why do n't people learn from their mistakes ?	why do n't some people learn from their mistakes ?	why is it okay for	3.1772355737578207e-09	0.06539509536784742
how do i get a hack done on my wife 's phone ?	how do i find someone to help me hack my cheating wife 's phone ?	how is	9.138298733487406e-11	0.10236847000067921
which is the best website for finding jobs ?	which are the top 10 best websites to find jobs ?	are a good 2016	2.615418999812674e-09	0.01927710843373494
how do i find my first investment property ?	how do i find investment properties ?	how you is	3.403024417548223e-09	0.14776358912874993
how do fighter pilots go to the bathroom on long flights ?	how do fighter jet pilots pee or poop ?	why did really stop of next you	1.1595546370745083e-16	0.03643263757115751
how do i know that i am fertile without going to hospital ?	how do i know if i 'm fertile without going to the hospital ( female ) ?	does dob for weeks for 3 home then	7.152731704838142e-17	0.058782547210830476
does it hurt to have a tooth pulled ?	does it hurt to get a tooth pulled ?	is a painful of it way for	5.1856859842473975e-09	0.04968944099378883
how do you always stay inspired and energized ?	how do i always stay motivated and energized ?	is the a a	8.27068107508754e-17	0.05294640036870678
is it possible that gods were aliens ?	is it possible that gods are aliens ?	did aliens	1.1132726913181444e-09	0.11451292246520878
what were the causes of the cold war ? outline the process of cold war divisions .	how and why did the cold war start ?	is did the of preparing with for	0.20084075455651398	0.097983520414836
can a person increase his/her height even after 20 ?	will swimming increase height after 20 years of age ?	how are reality	3.95886400738686e-17	0.0
what should i do to enter hollywood ?	how can i enter into hollywood ?	what is	1.8354763662658024e-09	0.1017763582390395
is there any way to creep somebody 's pics on instagram that account is private ?	how do i gain access to a person 's instagram photos , if their account is private ?	how is	2.883623964778959e-11	0.0499219968798752
why do i hire you ?	what is the best answer when we are asked by interviewers why should we hire you ?	why does a new indian	5.78930067221365e-09	0.14511483403209888
what are your views about governments decision to stop flow of 1000 and 500 rupee notes . ?	what do you think about ban on rs . 500 and rs . 1000 currency notes ?	what you & 1000 notes are new public new	3.4259357534414537e-09	0.09907120743034058
what are some characteristics of a brave person ?	what are the traits of a brave person ?	why is did	5.525039797935208e-17	0.0
how do i prepare for ugc net english literature thoroughly ?	how do i prepare for ugc net english ?	how is	6.752340199052529e-10	0.14413480576095633
if clinton loses , what kind of candidate can we expect from the democratic party in 2020 ?	who 's a prospective democratic candidate for 2020 ?	would n't sanders energy concede	1.0047301075986612e-16	0.0
how do you know if a guy likes you ?	how can you tell if a guy likes you or not ?	how is know with	2.88059797941122e-09	0.24164444149363642
did mukesh ambhani already knew about this notes withdrawal , so he invested a lot in jio and made it free till dec 30th ?	a doubt , did mukesh ambhani already know about this blocking ? so he invested a lot in jio and made it free till dec 30th ?	is is of it ? have of 1000 rs	8.907783857618556e-10	0.04596680482667035
what should i do if i have joint pain in my knee ?	what should i do if i have a joint pain in my knee ?	if do okay my after ?	3.595774701813686e-09	0.13882863340563992
what is the the importance of history ?	how important is history ?	how do you usa	7.109445940997322e-09	0.14823947830468795
how do i last longer with sex ?	is there anything i could do to last longer in bed ? ( more than 3-5 minutes ) ?	how is	1.5744053386817157e-09	0.18638121434606425
can i ask math questions on quora ?	is asking math questions on quora bad ?	why do you a ,	1.227180124627569e-16	0.0192316521518621
why should we study history ?	why should we learn history ?	why is the	4.749303160001652e-09	0.09486166007905139
did raghuram rajan know about the demonetization scheme of narendra modi ?	was raghuram rajan aware of demonetization ?	how did will new donald trump new did	4.225771273076634e-09	0.045283018867924525
what would happen if all the people in the world did n't need to sleep ?	where would humans be if we did n't need sleep ?	how did it that with it is it	2.904327290245408e-09	0.05405405405405405
why were the predictions and polls so wrong about the results of the 2016 presidential election ?	how did fivethirtyeight.com get its predictions about the 2016 race so wrong ?	is is the	4.6054927340999793e-10	0.03016861023298898
which phone should i buy under inr 15k ?	which phone should i buy under 15k ?	rs.15000 is	3.520477361430895e-17	0.0
does uniform civil code work for india ?	should india have a uniform civil code ( personal laws ) ?	is	2.883623964058067e-14	0.04126074498567336
since carrie fisher has passed away , what will they do about star wars episode ix ?	how will the new star wars movies be handled now that carrie fisher has died ? have they finished filming episodes 8 and 9 ?	is it ( dark of the ?	1.6537492645995024e-09	0.028151313950899644
what are biodegradable compounds ? how are they disposed off ?	what are biodegradable compounds ?	what is impossible	6.628186500598934e-09	0.10235778471906976
how do i speak loud and clear ?	how should i speak loud and clear ?	how do you ? weight ?	0.2265870955445612	0.18287408022086224
how do we make money online ?	how can i make money online easily ?	i a online money way how	9.774329031172883e-09	0.22988505747126442
why are metals good conductors ?	why are metals good conductor of heat and electricity ?	is there n't	1.5018615284240306e-16	0.021703736993245185
what importance does poetry have in education ?	why is poetry important in education ?	how is a the of	4.7398784991563485e-09	0.08307298469953488
who will you choose the person who loves you or the person you love ?	will you choose a person you love or a person who loves you as your life partner ?	how did you to india that with	1.5561046623180164e-09	0.031096930315526884
was there any greek byzantine emperor ?	was there any ethnic greek byzantine emperor ?	how akbar really anchor with	1.4988811889794536e-16	0.0
how do i increase amount of sperm ?	how can you increase your sperm amount ?	how do india i a	0.21255383258936583	0.18449243491308226
why am i bad at math ?	why am i so bad at math ?	why is n't it impossible	4.7398784991563485e-09	0.17492088077785964
what is the height of mount everest ?	what is the height of everest ?	how system is it a	4.7398784991563485e-09	0.03738317757009346
how many days before my period can i get pregnant ?	can you get pregnant 2 days before your period has ended ?	if after it the last ?	2.5091539258307054e-09	0.06368928826964342
how can i ignore someone ?	what should i do to ignore someone ?	how i ? in	9.590091771887623e-09	0.18018018018018017
what is the weirdest date you 've ever been on ?	what was the weirdest first date you have ever had ?	how is how	8.970274974036499e-10	0.032707765730487344
how do gps systems work ?	how does gps works ?	how my the symptoms of	7.071067808860277e-09	0.09448818897637795
how do you upgrade from windows 7 to windows 10 ?	how do you install windows 10 onto a windows 7 pc ?	how do n't ?	0.08688697167815888	0.13655662758850412
why is quora biased against donald trump ?	why is quora biased towards trump ?	why is president	0.15218787853458912	0.1232695901993098
what is the secret behind the immense success of quora ?	what is the psychological secret behind quora 's immense success ?	why is how	8.970274974036499e-10	0.03119475343819269
how can i soften hard stool ?	how can hard stool be softened ?	is a reality india ?	4.7398784991563485e-09	0.04539007092198582
what are the free seo tools available for analyzing websites ?	what are the free seo tools for website analyzing ?	how india promote on seo seo ?	4.495356574788337e-09	0.08184143222506395
are you proud of your country ? why is it so ?	are you proud of your country ?	why did n't proud	6.09822597026799e-09	0.1580939769722444
what have been president obama 's biggest foreign policy mistakes ?	what are president obama ’ s biggest foreign policy mistakes ?	is did there tell president the us ? us	4.220256667207975e-09	0.09502099580083982
what is life after death and how is it ?	how 's life after death ?	did during your	1.5018615284240306e-16	0.0
how do i start learning machine learning ?	what is the best way to get started with machine learning ?	how is a	3.44838093863103e-09	0.14910497147685137
what was the rudest thing you 've ever seen ?	what is the rudest thing you have ever seen someone do ?	what did did you tell a 've about notes 's decision of investigating ?	4.688072309037213e-09	0.13348185686272235
what would life be like on earth if we had two moons ?	what would have happened if earth had ended up with two moons ? would it have had any impact on the formation of life on earth as we know it ?	how did did move if	1.4276239691129877e-09	0.020202020202020204
how do i get quality backlinks for my website ?	how do i get quality backlinks ?	how is my )	6.09822597026799e-09	0.1775720458587128
what if i write incorrect roll no . in every answer sheet of a ug exam ? will my result be announced ?	what if i write incorrect roll no . in every exam answer sheet of a ug exam ? will my result be announced ?	how do the of preparing	1.9320789421528359e-10	0.010025062656641605
how did you lighten your dark underarm ?	how do i lighten dark underarms ?	is has is	1.0761308092620251e-16	0.06597936045946537
why is there a minimum wage ?	should there be a minimum wage ?	why did a wage ? by	0.30909142338413265	0.3120557593213715
what are some great side dishes for a pasta salad ?	what side dish should i serve with a pasta salad ?	how do some do for	3.011942117841947e-09	0.061200004169943416
how do vc firms raise their funds ?	how are ( private/non-private ) vc funds and firms funded ?	i is how	2.438373545820434e-09	0.06760563380281691
why has n't he contacted me at all for two days after our date where he tried to kiss me and texted that nite that he had a lot of fun ?	if he had such a good time on our date that he had to kiss and text the second it ended , why would he radio silence me for 3 days now ?	why did a n't has	6.387410021884059e-11	0.06929894310991509
what are the best ways to improve english ?	how can i understand english ?	how my improve english with	0.3170930570351238	0.2866017972133953
what is the balochistan crisis ?	what are conflicts between balochistan and punjab ?	what is	0.13533528306744386	0.1085612868232558
how effective is scrapping 500 and 1000 rupee notes ? will it reduce black money ?	will the decision to demonetize 500 and 1000 rupee notes help to curb black money ?	how did 500 year 1000 notes will of denomination	3.828548532755348e-09	0.16241426611796983
what is the turing award ?	what is the turing award and how can i earn one ?	how india ( with	5.536842066052537e-09	0.08863973109692638
how does one cope with existential depression ?	how does one avoid existential depression ?	how do n't	3.403024417548223e-09	0.10781258829344022
can i be arrested for downloading tv series from torrent in india ?	has anyone been arrested for downloading from torrent recently ?	does is a	3.95886400738686e-17	0.0
how do i recover a gmail account when i have the username and password , but do n't have the recovery phone number or email or any other information ?	how can i recover my email address if i forgot my recovery phone number and email address ?	how my for account for forgotten account my	2.4214074800382196e-09	0.12142137741997182
how can we achieve our dream ?	how do i achieve my dreams ?	how is kanniyakumari	3.403024417548223e-09	0.16864446851905968
what should be the first question one should ask on quora ?	what can be my first question for quora ?	why did is the last it first	5.1856859842473975e-09	0.06242960967305211
what is it really like to work for amazon ?	what is it like to work for amazon ?	how you do i in of	1.107368413422752e-16	0.042459525513095606
what is the process to study nursing in new zealand for an international student ?	how is new zealand for indian students wants to study in new zealand ?	what is is options	0.033511060342783464	0.08492193409561123
where do i buy online ?	where do i buy online products ?	how a my ? of for it	4.879500363290437e-09	0.13418009977077963
in the 2016 presidential election , who won the first debate between hillary clinton and donald trump and why ?	who won the first presidential debate september 2016 ?	did hillary clinton if in us presidential	0.2319109274149018	0.11334574986223761
can i earn money online ?	how do we make money online ?	is there a a a	1.8307376183738994e-16	0.061442097849072334
how i can speak english with fluency ?	how can improve my english speaking ?	how do okay my english ?	0.30909142338413265	0.2598429129384089
what is the difference between the cable-stayed bridge and a suspension bridge ?	which bridge is better a suspension bridge or the cable stayed bridge ?	how is a of the current	3.1140322380560667e-09	0.055737296426047016
is dark/vacuum energy infinite because the expansion of the universe is infinite and more and more of it is created as the universe expands ?	if vacuum gravitational and dark energy is created without limit as universe expands ?	is infinite energy infinite energy infinite or particles infinite	0.19125114020198267	0.10206616709878752
what will be the force on a current carrying conductor if all the parameters are doubled ?	what will be the force on current carrying conductor if all the parameters are doubled ?	how do n't , ?	7.834966462159466e-10	0.015625
how can i stop being a possessive girlfriend ?	how can i stop being so possessive on some one ?	i i want my	2.615418999812674e-09	0.023054755043227668
is there any legit online job i could do at home ?	what legit online jobs can i work from home ?	is there a work in	0.14247909484635526	0.09435425832333981
how many mg in a bar of xanax ?	how many mg are in xanax bars ?	of is	1.1132726913181444e-09	0.024316109422492398
do you love quora ? why ?	who loves quora ?	is there is	2.9252268238618885e-16	0.07368828917294241
how can i see who viewed my instagram videos ?	on instagram can you now see how many times someone has watched your video ?	how do with	1.2519027210204138e-09	0.0901733232083816
what 's the most embarrassing thing that 's happened to you in front of your crush ?	what is the most embarrassing moment in front of your crush ?	how did will n't tell	5.5140757418414865e-17	0.03821357296178604
